,NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023
71453,210062137735;2024;3;F;1;1;1;2;0;1;0;3541406;Presidente Prudente;35;SP;G;F;D;D;5;A;J;A;C;D;B;A;B;B;B;B;B;B;A;B;C;E;A
71454,210062137736;2024;1;F;1;1;1;3;0;;1;4208302;Itapema;42;SC;F;F;E;F;3;A;N;A;C;C;B;A;B;A;B;B;B;C;B;B;E;E;D
71455,210062137737;2024;12;F;1;2;1;1;14;;0;2211001;Teresina;22;PI;B;D;B;B;2;A;A;A;B;C;A;A;B;A;A;A;A;B;A;A;A;B;A
71456,210062137738;2024;2;M;1;2;1;2;0;1;0;5220454;Senador Canedo;52;GO;E;E;B;B;3;A;B;A;B;C;A;A;B;A;B;B;A;B;A;B;A;C;A
71457,210062137739;2024;3;M;1;3;1;1;1;;0;3155603;Rio Pardo de Minas;31;MG;E;F;A;D;3;A;D;A;B;C;B;A;B;A;A;B;A;B;A;B;B;C;D
71458,210062137740;2024;6;F;1;1;1;1;4;;0;3509205;Cajamar;35;SP;F;G;C;D;4;A;J;A;D;D;C;A;B;B;B;B;B;C;A;B;C;E;A
71459,210062137741;2024;4;F;1;3;1;1;2;;0;1501782;Breu Branco;15;PA;H;E;C;F;3;A;B;A;B;B;A;A;B;A;A;A;A;B;A;A;A;B;A
71460,210062137742;2024;8;F;1;1;1;1;5;;0;3511508;Cerquilho;35;SP;E;D;F;C;3;A;A;A;C;C;B;A;B;B;B;B;B;B;A;A;A;C;A
71461,210062137743;2024;8;F;1;1;1;1;6;;0;1302603;Manaus;13;AM;B;E;C;B;4;B;B;A;B;C;B;B;B;A;B;A;A;B;A;B;B;E;A
71462,210062137744;2024;7;M;1;2;1;2;0;;0;2928604;Santo Amaro;29;BA;E;E;F;F;4;B;B;A;B;C;A;A;B;A;A;A;A;B;A;B;A;B;A
71463,210062137745;2024;2;M;1;3;1;3;0;;1;2302404;Boa Viagem;23;CE;D;E;B;B;2;A;B;A;B;C;A;A;B;A;A;B;A;B;A;A;A;B;A
71464,210062137746;2024;5;F;1;1;1;1;2;;0;2801504;Carmópolis;28;SE;C;D;C;B;4;A;B;A;B;C;A;A;B;A;A;A;A;B;A;B;A;D;A
71465,210062137747;2024;3;M;1;3;1;2;0;1;0;2211001;Teresina;22;PI;C;C;B;F;3;A;B;A;C;D;A;B;B;A;A;B;A;B;A;B;B;C;A
71466,210062137748;2024;2;F;1;3;1;2;0;1;0;2114007;Zé Doca;21;MA;D;E;A;A;5;A;A;A;B;C;A;B;B;A;A;A;A;A;A;A;A;D;A
71467,210062137749;2024;3;F;1;1;1;2;0;1;0;3548708;São Bernardo do Campo;35;SP;F;E;E;B;5;A;F;B;C;D;B;A;B;B;B;B;B;C;B;B;B;B;D
71468,210062137750;2024;2;M;1;1;1;3;0;;1;2927408;Salvador;29;BA;E;G;D;E;4;A;P;D;D;D;C;A;B;B;B;B;B;D;B;B;D;D;D
71469,210062137751;2024;2;F;1;3;1;2;0;1;0;3507605;Bragança Paulista;35;SP;D;E;C;D;4;B;H;A;B;C;D;B;B;A;B;B;B;C;B;B;B;E;A
71470,210062137752;2024;2;M;1;3;1;2;0;1;0;3550308;São Paulo;35;SP;E;E;C;F;4;A;F;B;C;D;B;A;B;A;B;B;B;C;B;B;D;D;D
71471,210062137753;2024;2;F;1;1;1;3;0;;1;3306305;Volta Redonda;33;RJ;D;D;B;B;2;A;B;A;B;C;A;A;B;A;A;B;A;B;A;B;B;B;A
71472,210062137754;2024;3;F;1;1;1;2;0;1;0;3163706;São Lourenço;31;MG;H;D;F;B;4;A;B;A;B;C;A;A;B;A;A;A;A;B;A;B;A;C;A
71473,210062137755;2024;2;F;1;1;1;2;0;1;0;3507605;Bragança Paulista;35;SP;E;D;C;C;4;A;F;B;B;D;B;A;B;A;B;B;B;B;A;B;B;E;D
71474,210062137756;2024;3;M;1;3;2;2;0;1;0;2111300;São Luís;21;MA;D;D;B;B;7;A;B;A;B;C;A;A;B;A;A;A;A;B;A;B;A;C;A
71475,210062137757;2024;1;F;1;3;1;2;0;2;0;2905206;Caetité;29;BA;B;B;A;A;4;A;A;A;A;B;A;A;B;A;A;A;A;A;A;A;A;B;A
71476,210062137758;2024;4;F;0;3;1;1;1;;0;5103403;Cuiabá;51;MT;E;F;D;B;4;B;B;A;D;C;C;A;B;A;B;B;B;C;B;B;B;E;A
71477,210062137759;2024;2;F;1;1;1;2;0;1;0;3555000;Tupã;35;SP;F;F;D;B;3;A;E;A;C;D;B;A;B;A;B;B;A;D;B;B;B;D;D
71478,210062137760;2024;4;M;1;3;1;1;1;;0;1508001;Tomé-Açu;15;PA;C;F;B;C;5;A;D;A;B;C;A;B;B;A;B;A;A;B;A;B;B;B;A
71479,210062137761;2024;2;F;1;1;1;3;0;;1;2613701;São Lourenço da Mata;26;PE;E;G;D;D;9;A;P;D;C;D;B;A;B;B;B;B;B;D;B;B;E;E;A
71480,210062137762;2024;5;M;1;3;1;2;0;1;0;3501905;Amparo;35;SP;E;E;B;C;3;A;H;B;C;D;B;A;B;A;B;B;A;C;A;B;B;D;A
71481,210062137763;2024;11;M;2;3;1;1;8;;0;3550308;São Paulo;35;SP;C;E;B;B;3;B;H;A;B;C;A;A;B;B;B;B;B;A;A;B;C;D;A
71482,210062137764;2024;6;F;1;3;1;1;3;;0;3552809;Taboão da Serra;35;SP;E;F;D;D;3;B;G;A;B;C;B;A;B;A;B;B;B;B;B;B;B;D;A
